timestamp,gpu_util,mem_used_mb,mem_free_mb,temperature
1764061520,0, 0, 11004, 24
1764061550,0, 2, 11001, 24
1764061580,0, 2, 11001, 24
1764061611,0, 2, 11001, 24
1764061641,0, 2, 11001, 24
1764061671,0, 2, 11001, 24
1764061701,0, 2, 11001, 24
1764061731,0, 2, 11001, 24
1764061761,0, 2, 11001, 24
1764061791,30, 3442, 7561, 31
1764061821,0, 4616, 6387, 34
1764061851,35, 7176, 3827, 39
1764061881,0, 5174, 5829, 39
1764061911,0, 3010, 7993, 41
1764061941,0, 4948, 6055, 47
1764061971,0, 3546, 7457, 44
1764062001,43, 3672, 7331, 46
1764062031,0, 3380, 7623, 45
1764062061,0, 2916, 8087, 45
1764062091,55, 6110, 4893, 47
1764062121,0, 4494, 6509, 45
1764062152,0, 4570, 6433, 47
1764062182,0, 3550, 7453, 45
1764062212,0, 3426, 7577, 46
1764062242,0, 10792, 211, 45
